=== Job info ===
Node:  gnode10
Array task: 2  -> seed=3000
NVIDIA H200 NVL, 143771 MiB
PyTorch 2.11.0+cu130 | CUDA: True | bf16: True
================

========================================================================
  Paper reproduction (standard Transformer): ER(n=20, p=0.08), filter=diam9, seed=3000
  arch=roberta, d_model=512, single-head, normalized-ReLU, 2 layers, online, bf16
  Output: runs/repro_paper_n20_roberta/n20_p008_diam9_seed3000
========================================================================

Generating 10,000 ER test graphs (D≤9) with 16 workers …
  done in 6.5s
Generating 10,000 two_chains test graphs …
  done in 0.4s
Generating 10,000 two_cliques test graphs …
  done in 0.5s
  device: cuda
  arch: roberta
  parameters: 6,326,804
  Starting training: 1,000,000 steps × batch 1000 = 1,000,000,000 samples
  step  710000 | lr=1.94e-05 | loss=0.000277 | ER=0.9982 | 2chain=0.0000 | 2clique=0.0000 | 92.9s/5000
  step  715000 | lr=1.88e-05 | loss=0.000273 | ER=0.9983 | 2chain=0.0000 | 2clique=0.0000 | 92.8s/5000
  step  720000 | lr=1.82e-05 | loss=0.000270 | ER=0.9985 | 2chain=0.0000 | 2clique=0.0000 | 93.0s/5000
  step  725000 | lr=1.76e-05 | loss=0.000266 | ER=0.9984 | 2chain=0.0000 | 2clique=0.0000 | 93.5s/5000
  step  730000 | lr=1.70e-05 | loss=0.000265 | ER=0.9985 | 2chain=0.0000 | 2clique=0.0000 | 92.7s/5000
  step  735000 | lr=1.64e-05 | loss=0.000261 | ER=0.9985 | 2chain=0.0000 | 2clique=0.0000 | 92.6s/5000
  step  740000 | lr=1.58e-05 | loss=0.000259 | ER=0.9983 | 2chain=0.0000 | 2clique=0.0000 | 93.3s/5000
  step  745000 | lr=1.52e-05 | loss=0.000258 | ER=0.9984 | 2chain=0.0000 | 2clique=0.0000 | 92.4s/5000
  step  750000 | lr=1.47e-05 | loss=0.000255 | ER=0.9978 | 2chain=0.0000 | 2clique=0.0000 | 92.9s/5000
  step  755000 | lr=1.41e-05 | loss=0.000251 | ER=0.9990 | 2chain=0.0000 | 2clique=0.0000 | 92.9s/5000
  step  760000 | lr=1.36e-05 | loss=0.000248 | ER=0.9983 | 2chain=0.0000 | 2clique=0.0000 | 93.0s/5000
  step  765000 | lr=1.30e-05 | loss=0.000248 | ER=0.9984 | 2chain=0.0000 | 2clique=0.0000 | 93.6s/5000
  step  770000 | lr=1.25e-05 | loss=0.000243 | ER=0.9982 | 2chain=0.0000 | 2clique=0.0000 | 93.5s/5000
  step  775000 | lr=1.20e-05 | loss=0.000241 | ER=0.9986 | 2chain=0.0000 | 2clique=0.0000 | 94.0s/5000
  step  780000 | lr=1.15e-05 | loss=0.000239 | ER=0.9982 | 2chain=0.0000 | 2clique=0.0000 | 93.5s/5000
  step  785000 | lr=1.10e-05 | loss=0.000239 | ER=0.9982 | 2chain=0.0000 | 2clique=0.0000 | 92.9s/5000
  step  790000 | lr=1.05e-05 | loss=0.000235 | ER=0.9986 | 2chain=0.0000 | 2clique=0.0000 | 93.0s/5000
  step  795000 | lr=1.00e-05 | loss=0.000234 | ER=0.9983 | 2chain=0.0000 | 2clique=0.0000 | 93.0s/5000
  step  800000 | lr=9.57e-06 | loss=0.000231 | ER=0.9982 | 2chain=0.0000 | 2clique=0.0000 | 93.0s/5000
  step  805000 | lr=9.11e-06 | loss=0.000231 | ER=0.9988 | 2chain=0.0000 | 2clique=0.0000 | 93.2s/5000
  step  810000 | lr=8.66e-06 | loss=0.000227 | ER=0.9984 | 2chain=0.0000 | 2clique=0.0000 | 93.4s/5000
  step  815000 | lr=8.23e-06 | loss=0.000225 | ER=0.9984 | 2chain=0.0000 | 2clique=0.0000 | 93.5s/5000
  step  820000 | lr=7.80e-06 | loss=0.000224 | ER=0.9982 | 2chain=0.0000 | 2clique=0.0000 | 93.4s/5000
  step  825000 | lr=7.38e-06 | loss=0.000225 | ER=0.9987 | 2chain=0.0000 | 2clique=0.0000 | 93.2s/5000
  step  830000 | lr=6.98e-06 | loss=0.000219 | ER=0.9986 | 2chain=0.0000 | 2clique=0.0000 | 93.6s/5000
  step  835000 | lr=6.58e-06 | loss=0.000216 | ER=0.9986 | 2chain=0.0000 | 2clique=0.0000 | 93.0s/5000
  step  840000 | lr=6.20e-06 | loss=0.000218 | ER=0.9984 | 2chain=0.0000 | 2clique=0.0000 | 92.7s/5000
  step  845000 | lr=5.82e-06 | loss=0.000214 | ER=0.9982 | 2chain=0.0000 | 2clique=0.0000 | 92.9s/5000
  step  850000 | lr=5.46e-06 | loss=0.000213 | ER=0.9983 | 2chain=0.0000 | 2clique=0.0000 | 93.6s/5000
